titre,date,extrait
Kenzi Sidi Mârouf: une oasis de bien-être pour les Casablancais,2022-06-03,"Un après-midi détente au spa après une journée piscine vue sur notre jolie Casablanca. C’est la promesse du Kenzi Sidi Mârouf hôtel, qui ne cesse d’innover pour le plus grand plaisir de ses clients."
"Crédits, financement, dépôts bancaires…, ce que nous apprend Bank Al-Maghrib",2022-06-03,"Bank Al-Maghrib (BAM) vient de publier le tableau de bord « crédits-dépôts bancaires » du mois d’avril 2022, issu de son enquête de conjoncture. Voici qu’il faut retenir de ce document:"
"Au Maroc, la demande intérieure a augmenté de 9,1% en 2021, selon le HCP",2022-06-02,"La demande intérieure au Maroc a progressé de 9,1% durant l’année écoulée, au lieu d’une baisse de 6,5% en 2020, selon le Haut-Commissariat au Plan (HCP)."
Le gouvernement supprime les droits d’importation de certaines graines et huiles,2022-06-02,"Le Conseil de gouvernement, réuni jeudi sous la présidence du Chef du gouvernement, Aziz Akhannouch, a approuvé le projet de décret n° 2.22.393 relatif à la suspension des droits d’importation applicables à certaines graines oléagineuses et huiles brutes."
"Sheryl Sandberg, la numéro deux de Meta (Facebook), annonce sa démission",2022-06-01,"« Après 14 ans, je vais quitter Meta », a déclaré sur Facebook mercredi Sheryl Sandberg, la directrice des opérations du géant américain des réseaux sociaux, qui va cependant rester au Conseil d’administration."
Voitures électriques: Renault va s’approvisionner en cobalt marocain,2022-06-01,"Le constructeur automobile français Renault a annoncé mercredi avoir signé avec le groupe marocain Managem Group un contrat d’approvisionnement en cobalt, l’un des composants essentiels des batteries électriques pour lesquels tout le secteur bataille."
"MRE: les transferts dépassent 30,5 milliards DH à fin avril 2022",2022-06-01,"Les transferts de fonds effectués par les Marocains Résidents à l’Étranger (MRE) se sont établis à plus de 30,56 milliards de dirhams (MMDH) à fin avril 2022 contre 29,03 MMDH une année auparavant, selon l’Office des changes."
Les exportations de phosphate dépassent les 36 milliards DH à fin avril,2022-06-01,"Les ventes des phosphates et dérivés ont presque doublé pour atteindre plus de 36,14 milliards de dirhams (MMDH) au titre des quatre premiers mois de 2022 contre 18,19 MMDH à fin avril 2021, selon l’Office des changes."
Bourse de Casablanca: l’essentiel du résumé mensuel pour mai 2022,2022-06-01,Voici l’essentiel du résumé mensuel de la Bourse de Casablanca au titre du mois de mai 2022:
Le Maroc et l’Espagne choisissent Dakhla pour leur prochain forum des investissements,2022-06-01,"La ville de Dakhla accueillera, les 21 et 22 juin 2022, le Forum maroco-espagnol des investissements, organisé par le conseil régional de Dakhla-Oued Eddahab."
