titre,date,extrait
"Avec 43,79 milliards de DH, la facture énergétique a doublé en 2022 Mercredi 01 Juin 2022",2022-06-01,"Ce déficit résulte d’une augmentation des importations (+37,8% à 230,05 milliards de DH) plus importante que celle des exportations (+34,2% à 139,01 milliards de DH), explique l’Office des Changes dans son récent bulletin sur les indicateurs mensuels de"
Industrie automobile: Renault Group signe une convention d’approvisionnement avec Managem Mercredi 01 Juin 2022,2022-06-01,"L’accord prévoit la fourniture par Managem Group de 5 000 tonnes de sulfate de cobalt par an pendant une période de 7 ans, à partir de 2025. Après une étude d’ingénierie, Managem Group prévoit d’investir dans la construction d’"
Opération Marhaba 2022: Mise en place de nouvelles mesures de facilitation Mercredi 01 Juin 2022,2022-06-01,"""Pour garantir la réussite de cette opération, l'administration mobilise tous les moyens humains et logistiques nécessaires pour une prestation d’accueil de qualité, conformément aux normes et à la réglementation en vigueur. La campagne"
Casablanca : SICPA Maroc inaugure son centre de codage de vignettes sécurisées Mercredi 01 Juin 2022,2022-06-01,"Cet événement s'est déroulé en présence de Kenza El Alaoui, Directrice générale de l'industrie au sein du ministre de l'Industrie et du Commerce, Nabyl Lakhdar, Directeur général de l'Administration des douanes et imp&oci"
"OPCI : Un actif net de plus de 23,45 MMDH à fin avril Mercredi 01 Juin 2022",2022-06-01,"Le nombre de fonds OPCI s'est établi à cette date à 30, dont deux agréés en avril et disposant d'un capital initial à la constitution de 100 millions de dirhams, précise l'AMMC qui vient de publier les indicateurs mensuels du march&e"
"Les recettes voyages à plus de 14,6 MMDH à fin avril Mercredi 01 Juin 2022",2022-06-01,"Ces recettes ont, néanmoins, accusé une baisse de 22,1% par rapport à la même période de l'année 2020 et de 36,3% par rapport à fin avril 2019, précise l'Office dans son récent bulletin sur les indicateurs mensuels des écha"
"Les transferts MRE dépassent 30,5 Mds de DH à fin avril Mercredi 01 Juin 2022",2022-06-01,"Ces transferts s'inscrivent ainsi en hausse de 5,3% ou de 1,52 MMDH au titre de la même période de l'année écoulée, précise l'Office dans son bulletin des indicateurs mensuels des échanges extérieurs du mois d'avril. Ledit bul"
Hausse du flux net des IDE de 5% à fin avril Mercredi 01 Juin 2022,2022-06-01,"Dans le détail, les recettes des IDE ont baissé de 7% à 9,8 MMDH à fin avril, et les dépenses ont diminué de 22% à 3,66 MMDH, précise l'Office dans sa récente note sur les indicateurs mensuels des échanges extérieurs."
Secteur agricole et agroalimentaire : Le dialogue social et la négociation collective plus présents que jamais Mercredi 01 Juin 2022,2022-06-01,"Cette formation qui s’est déroulée à Kénitra, s’est étalée sur une durée de cinq jours du 30 mai au 3 juin 2022. La quarantaine de participants est composée de syndicats locaux de la région de Rabat, d’organisations des"
Marchandises dédouanées : Nouvelle procédure pour l’utilisation du bon à délivrer électronique Mercredi 01 Juin 2022,2022-06-01,"Ayant la même valeur juridique que le BAD papier, le BAD électronique a été mis en service en 2020 par l’ADII pour digitaliser et simplifier l’accomplissement des formalités de dédouanement. A présent, le BAD électronique est g&eacut"
Maroc-UE : L’harmonisation du droit de la concurrence sur les rails Mercredi 01 Juin 2022,2022-06-01,"L’importance de l’Union européenne pour l’économie nationale n’est plus à démontrer. L’UE qui capte plus de 65% des exportations nationales, est le premier partenaire économique du Maroc, un pays particulièrement attra"
PERG: Plus de 40 mille villages électrifiés Mercredi 01 Juin 2022,2022-06-01,"Benali, qui répondait à une question orale sur la généralisation de l’électrification du monde rural, posée par le groupe Authenticité et Modernité à la Chambre des Conseillers, a précisé que le PERG a permis, depuis"
L’AMEE et le le RCREEE collaborent au service de la promotion de l’efficacité énergétique Mardi 31 Mai 2022,2022-05-31,"L’AMEE et le RCREEE ont décidé de joindre les efforts en signant un memorandum d’entente. Et ce à la lumière des dernières mises à jour réglementaires dans le secteur de l'énergie au Maroc, principalement la promulgation de la l"
Textile : Un nouveau binôme aux commandes de l’AMITH Mardi 31 Mai 2022,2022-05-31,"Conscient de l’importance du secteur textile et habillement pour notre pays en terme d’emplois, de valeur ajoutée, d’exportations et de rapatriement de devise, le binôme élu souligne que ledit secteur «présente encore des opportunités qu&rsqu"
"Hausse du crédit bancaire de 3,2% à fin avril 2022 Mardi 31 Mai 2022",2022-05-31,"Cette évolution recouvre une hausse de 5,6% après 4,6% des prêts aux sociétés privées, une accentuation de la baisse des crédits aux sociétés non financières publiques de 15,9% à 16,6% et une quasi-stagnation des créd"
Industries manufacturières : Hausse de l'indice de prix en avril Mardi 31 Mai 2022,2022-05-31,"Cette augmentation est la résultante de la hausse de 17,5% des prix de la ""Métallurgie"", de 1,4% des ""Industries alimentaires"" et de la ""Fabrication d’autres produits minéraux non métalliques"", de 2,4% du ""Travail du bois et fabric"
Bourita livre les détails de l’opération Marhaba 2022 Mardi 31 Mai 2022,2022-05-31,"Intervenant lors de la séance hebdomadaire des questions orales à la Chambre des représentants, Bourita a indiqué que l’encadrement de l’opération se fait de manière intensifiée tout au long de la semaine, à l’arrivée c"
Gestion déléguée: Le gouvernement prépare une nouvelle politique Lundi 30 Mai 2022,2022-05-30,"Répondant à une question orale du groupe istiqlalien de l'Unité et de l'Egalitarisme à la Chambre des Représentants sur la gestion déléguée, Laftit a indiqué que l'objectif de cette nouvelle politique est d'avoi"
Concours national « Green Start-up »: Le CAM renforce son engagement auprès des jeunes Lundi 30 Mai 2022,2022-05-30,"Avec plus de 200 candidatures soumises au concours, les 20 projets retenus s’articulent autour des filières de l’écotourisme et des métiers des espaces naturels, de la valorisation des ressources naturelles et produits de terroir et la pisciculture. Ces projets sont situés dans l"
Barid Al-Maghrib signe des protocoles de coopération avec la Poste Tunisienne et la Poste de Mauritanie Lundi 30 Mai 2022,2022-05-30,"""Ces accords témoignent des liens historiques, fraternels et étroits unissant le Royaume du Maroc et ces pays frères et amis de notre région. Ils font écho également aux efforts entrepris, depuis plusieurs années, pour l’essor du secteur po"
Industrie agroalimentaire : Le rappel à l'ordre de l'ONSSA Lundi 30 Mai 2022,2022-05-30,"Conformément aux dispositions de la loi n°28-07 relative à la sécurité sanitaire des produits alimentaires, l’Office National de Sécurité Sanitaire des Produits Alimentaires (ONSSA) rappelle que les unités de production, de traitement, de tr"
E-Gov en Afrique: La DGSN sacrée aux Apide Awards Dimanche 29 Mai 2022,2022-05-29,"La Direction Générale de la Sûreté Nationale a remporté ce 27 mai 2022, le prix « African Excellence Award E-government », lors de la cérémonie de remise de trophées « APIDE AWARDS », organisée en marge d"
Crypto-monnaie ou crypto-loi ? Dimanche 29 Mai 2022,2022-05-29,"Rappelons que selon l’étude réalisée en 2021 par le Global Cryptocurrency Adoption Index, le Maroc serait classé 24ème utilisateur mondial de crypto-monnaie. Quant au volume d’échange de bitcoins par les Marocains, il aurait att"
Transport/Logistique : Nécessité d'asseoir une souveraineté nationale Samedi 28 Mai 2022,2022-05-28,"Intervenant lors d'une conférence-débat tenue à l'initiative de la Fondation universitaire Links à la Faculté des sciences juridiques, économiques et sociales (FSJES) – Université Hassan II de Casablanca, Abdeljalil a mis l'accent la"
"La digitalisation, levier stratégique du NMD, en débat au MD talks Vendredi 27 Mai 2022",2022-05-27,"Placée sous le thème : «La digitalisation, levier stratégique du nouveau modèle de développement», cette conférence a connu la présence de Chakib Benmoussa, ministre de l’Education nationale, du Préscolaire et des Sports, Ryad"
Industrie du cuir : Inauguration à Casablanca d’une nouvelle unité Vendredi 27 Mai 2022,2022-05-27,"Fruit d’une association avec le Groupe FLO, leader turc dans la fabrication de chaussures, ce projet porte sur la fabrication de certaines marques du groupe destinées à l’export et au marché local et la création d’une marque (OCTO) développé"
L'ADII publie une circulaire relative à l'entrée en vigueur de l'Accord amendant l'Accord de libre-échange Maroc-Turquie Vendredi 27 Mai 2022,2022-05-27,"""Le service est informé que, par lettre du 29 avril 2022 citée en référence, le Ministère des Affaires Etrangères, de la Coopération Africaine et des Marocains Résidant à l'Étranger a notifié à cette Adminis"
"Convention d’investissement de 5,69 milliards de dirhams entre Orange Maroc et le gouvernement Vendredi 27 Mai 2022",2022-05-27,"Selon les termes de cette convention, Orange Maroc s'engage à réaliser sur les trois prochaines années un programme d'investissement de 5,69 milliards de dirhams. Ce programme d'investissement va permettre à l’opérateur de poursuivre le d&eacut"
"Afrique: Les pays à fortes croissances en 2022 et 2023, selon la BAD Vendredi 27 Mai 2022",2022-05-27,"Voici la liste des pays africains qui vont réaliser selon la BAD les plus fortes croissances en 2022 et 2023: En 2022: - Rwanda : 6,9% - Niger : 6,5% - Maurice : 6,2% - République démocratique du Congo : 6,2% - Bénin : 6,1% - Côte d'Ivoire :"
Maroc : Forte hausse des arrivées de touristes à fin avril 2022 Jeudi 26 Mai 2022,2022-05-26,"Cette hausse fait suite à une augmentation de 428% pour les touristes étrangers et de 129% pour les Marocains Résidant à l'étranger (MRE), indique la DTFE dans sa récente note de conjoncture. L'activité touristique a affiché une &ea"
Nadia Fettah participe aux Assemblées annuelles de la BAD à Accra Jeudi 26 Mai 2022,2022-05-26,"En sa qualité de gouverneur de la BAD pour le Royaume du Maroc, la ministre a pris part au dialogue des gouverneurs qui se tient cette année sous le thème «Perspectives stratégiques de la banque pour les dix prochaines années». Dans ce cadre, l"
