titre,date,extrait
La Bourse de Casablanca boucle ses échanges en territoire positif,2022-06-02,"La Bourse de Casablanca a bouclé ses échanges en territoire positif, ce jeudi, son principal indice, le MASI, prenant 1,15% à 12.534,97 points (pts)."
On a testé pour vous le HUAWEI nova 9 SE,2022-06-02,"Le HUAWEI nova 9 SE est un smartphone de milieu de gamme qui est récemment venu s’ajouter à la famille dynamique, chic et tendance des produits HUAWEI nova 9. Nous avons eu l’occasion de tester pour vous cet appareil et voici notre verdict:"
Croissance économique au Maroc: les prévisions du HCP,2022-06-02,"L’arrêté des comptes nationaux de l’année 2021 fait ressortir une croissance de l’économie nationale à 7,9%, après une profonde récession de 7,2% en 2020 due en particulier à la crise sanitaire, selon le Haut-Commissariat au Plan (HCP)."
Voitures neuves: les ventes ont reculé au Maroc,2022-06-02,"Les ventes de voitures neuves au Maroc se sont établies à 67.008 unités au titre des cinq premiers mois de cette année, en repli de 9,51% par rapport à la même période en 2021, ressort-il des statistiques mensuelles de l’Association des importateurs de véhicules au Maroc (AIVAM)."
Global Money Week 2022: l’AMMC récompense les lauréats de la 2ème édition de Quiz Finance,2022-06-02,"L’Autorité Marocaine du Marché des Capitaux (AMMC) a organisé lundi 30 mai 2022, une cérémonie de remise des prix en l’honneur des 16 lycéens, lauréats de la deuxième édition de la compétition « Quiz Finance ». "
Devises vs Dirham: les cours de change de ce jeudi 2 juin,2022-06-02,Voici les cours des devises étrangères contre le dirham établis par Bank Al-Maghrib pour la journée du jeudi 02 juin 2022:
La Bourse de Casablanca quasi stable à l’ouverture ce jeudi,2022-06-02,"La Bourse de Casablanca a ouvert sur une note quasi stable jeudi, son indice principal, le Masi, grappillant 0,02% à 12.394,78 points (pts)."
Kuwait Airways: nouvelle liaison vers Casablanca,2022-06-02,La compagnie aérienne Kuwait Airways a annoncé le lancement d’une nouvelle liaison vers Casablanca avec deux vols par semaine entre Koweït City et l’aéroport international Mohammed V.
Managem approvisionnera Renault en cobalt marocain,2022-06-01,"Renault Group et Managem Group ont scellé, ce mercredi à Casablanca, un mémorandum d’entente (MoU) portant sur un approvisionnement durable en cobalt marocain destiné à la production de batteries électriques pour véhicules."
Inédit. BOA exonère ses clients des commissions sur les paiements par carte à l’international,2022-06-01,"Afin d’accompagner l’engouement des marocains pour le e-commerce et leur permettre de  réaliser leurs transactions sans se préoccuper des frais liés au paiement en ligne, BANK OF AFRICA se distingue sur le marché marocain par la suppression des commissions appliquées sur les transactions effectuées par ses clients : "
La Bourse de Casablanca bascule dans le vert à la clôture,2022-06-01,"La Bourse de Casablanca a basculé dans le vert, ce mercredi à la clôture, le MASI ayant pris 0,43%, à 12.392,78 points (pts)."
