titre,date,extrait
Managem fournira 5.000 tonnes de cobalt par an à Renault Group,2022-06-01,"
Le constructeur français et le groupe minier marocain ont scellé un partenariat stratégique portant sur la fourniture de sulfate de cobalt destiné à la production de batteries électriques. L’accord s’étend sur 7 ans et porte sur une fourniture annuelle de 5 000 tonnes....
"
Gazoduc Nigeria-Maroc : feu vert décisif du Nigeria à un accord avec la Cedeao,2022-06-01,"
Le Conseil exécutif fédéral a autorisé la compagnie pétrolière nationale, NNPC, à conclure un accord avec la CEDEAO pour la construction du gazoduc Nigeria-Maroc, rapporte la presse nigériane....
"
Export : le Maroc veut profiter d’un potentiel inexploité de 120 MMDH,2022-06-01,"
Un écosystème d’accompagnement sera bientôt lancé pour aider les entreprises marocaines à concrétiser des opportunités à l’export de l’ordre de 120 milliards de dirhams. ...
"
Échanges extérieurs : les exportations de phosphates et dérivés ont doublé à fin avril 2022,2022-06-01,"
La plupart des indicateurs des échanges extérieurs sont en amélioration, selon les données publiées ce mercredi 1er juin 2022 par l'Office des changes : transferts MRE, recettes du tourisme, exportations......
"
Carburants. Le litre à 20 DH ? Un scénario désormais probable,2022-06-01,"
L’extension des sanctions européennes contre la Russie aux produits énergétiques affole les marchés. Au Maroc, les prix à la pompe s’inscriront à la hausse dès le 15 juin, à moins d’une action politique internationale pour contenir l'envolée des cours. ...
"
"En mars et avril 2022, les recettes touristiques approchent les niveaux de 2019",2022-06-01,"
Les recettes touristiques reprennent à un bon rythme, approchant le niveau de 2019, année normative pré-Covid....
"
"A fin avril, les transferts des MRE se maintiennent au rythme de 2021",2022-06-01,"
Après un début mitigé, les transferts des MRE se situent à fin avril 2022 en légère hausse par rapport à la même période l’an dernier, conservant le même rythme de progression élevé par rapport à la période d’avant-Covid....
"
"A fin avril, le cash en circulation augmente de 28 MMDH sur une année glissante",2022-06-01,"
La hausse du cash en circulation poursuit son accélération. En avril 2022, il a augmenté de 2,2% par rapport à mars, soit 7,1 MMDH en valeur. ...
"
Crédit bancaire : léger recul des impayés en avril 2022,2022-06-01,"
Les créances en souffrance s’élèvent à 86 milliards de dirhams en avril, en baisse de 0,2% par rapport au mois précédent....
"
Tourisme : quel sera l’impact au Maroc du recrutement de 10.000 saisonniers par la France ?,2022-05-31,"
Plusieurs syndicats français de l’hôtellerie-restauration ont fait part de leur intention de recruter des milliers de saisonniers au Maroc et en Tunisie pour remédier à la pénurie de main-d'œuvre dans l'Hexagone. De leur côté, les acteurs publics et privés marocains se sont montrés sereins en jugeant que cette annonce, qui n’entrera en vigueur qu’en 2023, ne menace pas l’industrie du tourisme....
"
