month,btc_articles
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,1
2013-07,0
2013-08,1
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,1
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,1
2017-05,8
2017-06,8
2017-07,7
2017-08,5
2017-09,2
2017-10,1
2017-11,0
2017-12,0
2018-01,1
2018-02,1
2018-03,1
2018-04,0
2018-05,2
2018-06,0
2018-07,0
2018-08,1
2018-09,0
2018-10,1
2018-11,1
2018-12,2
2019-01,2
2019-02,0
2019-03,0
2019-04,1
2019-05,3
2019-06,1
2019-07,0
2019-08,1
2019-09,1
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,2
2020-04,2
2020-05,0
2020-06,1
2020-07,2
2020-08,8
2020-09,24
2020-10,8
2020-11,8
2020-12,5
2021-01,2
2021-02,5
2021-03,1
2021-04,1
2021-05,1
2021-06,1
2021-07,14
2021-08,4
2021-09,1
2021-10,4
2021-11,17
2021-12,0
2022-01,0
2022-02,0
2022-03,1
2022-04,1
2022-05,0
